Group,Item,Condition,Item_type,ConjunctType,ConjunctOrder,Agreement,Sentence,Verb
C,47,e,experimental,pronoun,preverbal,LCA,Ben ve sen ormanın içinde kayboldun.,kaybol-
D,47,f,experimental,pronoun,preverbal,RA,Ben ve sen ormanın içinde kaybolduk.,kaybol-
E,47,g,experimental,proper,postverbal,FCA,Kayboldu ormanın içinde Nesrin ve ben.,kaybol-
F,47,h,experimental,proper,postverbal,LCA,Kayboldum ormanın içinde Nesrin ve ben.,kaybol-
G,47,i,experimental,proper,postverbal,RA,Kaybolduk ormanın içinde Nesrin ve ben.,kaybol-
H,47,j,experimental,pronoun,postverbal,FCA,Kayboldun ormanın içinde sen ve ben.,kaybol-
I,47,k,experimental,pronoun,postverbal,LCA,Kayboldum ormanın içinde sen ve ben.,kaybol-
J,47,l,experimental,pronoun,postverbal,RA,Kaybolduk ormanın içinde sen ve ben.,kaybol-
L,48,a,experimental,proper,preverbal,FCA,Ben ve Kadir gece boyunca çalıştım.,çalış-
A,48,b,experimental,proper,preverbal,LCA,Ben ve Kadir gece boyunca çalıştı.,çalış-
B,48,c,experimental,proper,preverbal,RA,Ben ve Kadir gece boyunca çalıştık.,çalış-
C,48,d,experimental,pronoun,preverbal,FCA,Ben ve sen gece boyunca çalıştım.,çalış-
D,48,e,experimental,pronoun,preverbal,LCA,Ben ve sen gece boyunca çalıştın.,çalış-
E,48,f,experimental,pronoun,preverbal,RA,Ben ve sen gece boyunca çalıştık.,çalış-
F,48,g,experimental,proper,postverbal,FCA,Çalıştı gece boyunca Kadir ve ben.,çalış-
G,48,h,experimental,proper,postverbal,LCA,Çalıştım gece boyunca Kadir ve ben.,çalış-
H,48,i,experimental,proper,postverbal,RA,Çalıştık gece boyunca Kadir ve ben.,çalış-
I,48,j,experimental,pronoun,postverbal,FCA,Çalıştın gece boyunca sen ve ben.,çalış-
J,48,k,experimental,pronoun,postverbal,LCA,Çalıştım gece boyunca sen ve ben.,çalış-
K,48,l,experimental,pronoun,postverbal,RA,Çalıştık gece boyunca sen ve ben.,çalış-
